System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-0.5) rhol rhos viscosity aH2O chisqr
1 4500.00 1400.00 100.124544 1.0000000000000000 1.000000 -1177269.118928 302.762170 39.192876 152.456448 -223.389407 3586.649868 -6.523 0.000 2.554662 0.000000 1.178 n/a n/a
2 4500.00 1397.00 100.124603 1.0000000000000000 1.000000 -1177727.277507 302.488726 39.182168 152.455001 -223.433420 3586.672928 -6.548 0.000 2.555361 0.000000 1.187 n/a n/a
3 4500.00 1394.00 100.124663 1.0000000000000000 1.000000 -1178185.451964 302.214795 39.171461 152.453561 -223.477466 3586.696549 -6.574 0.000 2.556062 0.000000 1.197 n/a n/a
4 4500.00 1391.00 100.124725 1.0000000000000000 1.000000 -1178643.642517 301.940377 39.160755 152.452126 -223.521546 3586.720737 -6.600 0.000 2.556762 0.000000 1.206 n/a n/a
5 4500.00 1388.00 100.124789 1.0000000000000000 1.000000 -1179101.849385 301.665469 39.150050 152.450698 -223.565659 3586.745496 -6.626 0.000 2.557463 0.000000 1.216 n/a n/a
6 4500.00 1385.00 100.124853 1.0000000000000000 1.000000 -1179560.072790 301.390069 39.139346 152.449274 -223.609806 3586.770831 -6.652 0.000 2.558164 0.000000 1.225 n/a n/a
7 4500.00 1382.00 100.124919 1.0000000000000000 1.000000 -1180018.312958 301.114176 39.128643 152.447857 -223.653989 3586.796745 -6.678 0.000 2.558865 0.000000 1.235 n/a n/a
8 4500.00 1379.00 100.124987 1.0000000000000000 1.000000 -1180476.570114 300.837789 39.117941 152.446446 -223.698208 3586.823246 -6.704 0.000 2.559567 0.000000 1.245 n/a n/a
9 4500.00 1376.00 100.125056 1.0000000000000000 1.000000 -1180934.844490 300.560904 39.107241 152.445041 -223.742463 3586.850336 -6.731 0.000 2.560269 0.000000 1.254 n/a n/a
10 4500.00 1373.00 100.125127 1.0000000000000000 1.000000 -1181393.136318 300.283521 39.096542 152.443642 -223.786756 3586.878020 -6.757 0.000 2.560971 0.000000 1.264 n/a n/a
11 4500.00 1370.00 100.125199 1.0000000000000000 1.000000 -1181851.445834 300.005638 39.085844 152.442249 -223.831086 3586.906305 -6.784 0.000 2.561674 0.000000 1.274 n/a n/a
12 4500.00 1367.00 100.125273 1.0000000000000000 1.000000 -1182309.773276 299.727252 39.075147 152.440862 -223.875456 3586.935194 -6.810 0.000 2.562377 0.000000 1.284 n/a n/a
